"congress_names","no_of_days","total_bills_filed","national_bills","local_bills","authored_bills","co_authored_bills","enacted_bills","national_bills_prop","local_bills_prop","authored_bills_prop","co_authored_bills_prop","enacted_bills_prop"
"GATCHALIAN, WESLIE T.",68,78,73,5,15,63,10,0.935897435897436,0.0641025641025641,0.192307692307692,0.807692307692308,0.128205128205128
"GERON, RICO B.",45,39,36,3,6,33,7,0.923076923076923,0.0769230769230769,0.153846153846154,0.846153846153846,0.179487179487179
"GERONA-ROBREDO, MARIA LEONOR",114,122,108,14,31,91,19,0.885245901639344,0.114754098360656,0.254098360655738,0.745901639344262,0.155737704918033
"GO, ANA CRISTINA S.",35,46,43,3,1,45,11,0.934782608695652,0.0652173913043478,0.0217391304347826,0.978260869565217,0.239130434782609
"GO, ARNULFO F.",42,51,31,20,17,34,3,0.607843137254902,0.392156862745098,0.333333333333333,0.666666666666667,0.0588235294117647
"GOMEZ, LUCY T.",65,59,50,9,27,32,8,0.847457627118644,0.152542372881356,0.457627118644068,0.542372881355932,0.135593220338983
"GONZALES, NEPTALI II M.",117,50,47,3,29,20,18,0.94,0.06,0.58,0.4,0.36
"GONZALEZ, FERNANDO V.",90,93,73,20,13,80,20,0.78494623655914,0.21505376344086,0.139784946236559,0.860215053763441,0.21505376344086
"GORRICETA, ARCADIO H.",54,48,41,7,3,45,11,0.854166666666667,0.145833333333333,0.0625,0.9375,0.229166666666667
"GUANLAO, AGAPITO H.",97,122,117,5,29,93,15,0.959016393442623,0.040983606557377,0.237704918032787,0.762295081967213,0.122950819672131
"GUIAO, JOSELLER ""YENG"" M.",83,81,66,15,19,62,14,0.814814814814815,0.185185185185185,0.234567901234568,0.765432098765432,0.172839506172839
"GULLAS, GERALD ANTHONY JR. V.",127,197,173,24,17,180,31,0.878172588832487,0.121827411167513,0.0862944162436548,0.913705583756345,0.157360406091371
"GUNIGUNDO, MAGTANGGOL I T.",34,25,22,3,13,12,7,0.88,0.12,0.52,0.48,0.28
"GUTIERREZ, IBARRA III M.",142,181,166,14,53,128,,0.917127071823204,0.0773480662983425,0.292817679558011,0.707182320441989,
"HAGEDORN, DOUGLAS S.",39,45,35,10,8,37,11,0.777777777777778,0.222222222222222,0.177777777777778,0.822222222222222,0.244444444444444
"HARESCO, TEODORICO JR. T.",62,73,59,14,35,38,15,0.808219178082192,0.191780821917808,0.479452054794521,0.520547945205479,0.205479452054795
"HATAMAN-SALLIMAN, JIM",42,36,34,2,2,34,7,0.944444444444444,0.0555555555555556,0.0555555555555556,0.944444444444444,0.194444444444444
"HERNANDEZ, FERDINAND L.",91,135,104,31,10,125,23,0.77037037037037,0.22962962962963,0.0740740740740741,0.925925925925926,0.17037037037037
"HICAP, FERNANDO L.",125,131,129,2,22,109,,0.984732824427481,0.0152671755725191,0.16793893129771,0.83206106870229,
"HOFER, DULCE ANN K.",47,44,35,9,13,31,19,0.795454545454545,0.204545454545455,0.295454545454545,0.704545454545455,0.431818181818182
"ILAGAN, LUZVIMINDA C.",95,136,129,7,16,120,,0.948529411764706,0.0514705882352941,0.117647058823529,0.882352941176471,
"IWAY, MANUEL M.",32,33,26,7,4,29,11,0.787878787878788,0.212121212121212,0.121212121212121,0.878787878787879,0.333333333333333
"JALOSJOS, SETH F. ",20,17,16,1,0,17,3,0.941176470588235,0.0588235294117647,0,1,0.176470588235294
"JAVIER, PAOLO S.",19,16,16,0,1,15,7,1,0,0.0625,0.9375,0.4375
"KATOH, ANGELINA LUDOVICE",75,69,68,1,2,67,5,0.985507246376812,0.0144927536231884,0.0289855072463768,0.971014492753623,0.072463768115942
"KHO, ELISA ""OLGA"" T.",90,104,94,10,9,95,22,0.903846153846154,0.0961538461538462,0.0865384615384615,0.913461538461538,0.211538461538462
"KHONGHUN, JEFFREY D.",16,4,3,1,0,4,1,0.75,0.25,0,1,0.25
"LABADLABAD, ROSENDO S.",23,13,8,5,7,6,4,0.615384615384615,0.384615384615385,0.538461538461538,0.461538461538462,0.307692307692308
"LACSON-NOEL, JOSEPHINE VERONIQUE R.",54,67,65,2,13,54,7,0.970149253731343,0.0298507462686567,0.194029850746269,0.805970149253731,0.104477611940299
"LAGDAMEO, ANTONIO JR. F.",41,49,36,13,16,33,7,0.73469387755102,0.26530612244898,0.326530612244898,0.673469387755102,0.142857142857143
"LAGDAMEO, MONIQUE YAZMIN Q.",58,55,44,11,0,55,20,0.8,0.2,0,1,0.363636363636364
"LAGMAN, EDCEL ""GREX"" B.",78,81,75,6,17,64,14,0.925925925925926,0.0740740740740741,0.209876543209877,0.790123456790123,0.172839506172839
"LANETE, SCOTT DAVIES S. M.D.",106,142,116,26,49,93,21,0.816901408450704,0.183098591549296,0.345070422535211,0.654929577464789,0.147887323943662
"LEACHON, DOY C.",41,50,38,12,13,37,10,0.76,0.24,0.26,0.74,0.2
"LEDESMA, JULIO IV A.",6,2,1,1,1,1,0,0.5,0.5,0.5,0.5,0
"LEE, DELPHINE G.",65,84,78,6,35,49,5,0.928571428571429,0.0714285714285714,0.416666666666667,0.583333333333333,0.0595238095238095
"LEONARDIA, EVELIO ""BING""",62,125,108,17,82,43,19,0.864,0.136,0.656,0.344,0.152
"LEONEN-PIZARRO, CATALINA",54,28,26,2,7,21,6,0.928571428571429,0.0714285714285714,0.25,0.75,0.214285714285714
"LOBREGAT, CELSO",101,131,115,16,10,120,42,0.877862595419847,0.122137404580153,0.0763358778625954,0.916030534351145,0.320610687022901
"LOONG, TUPAY T.",39,34,24,10,6,28,7,0.705882352941177,0.294117647058824,0.176470588235294,0.823529411764706,0.205882352941176
"LOPEZ, CARLO V.",32,22,22,0,1,21,8,1,0,0.0454545454545455,0.954545454545455,0.363636363636364
"LOPEZ, CAROL JANE. B.",20,17,17,0,7,10,0,1,0,0.411764705882353,0.588235294117647,0
"LOYOLA, ROY M.",51,62,56,6,17,45,14,0.903225806451613,0.0967741935483871,0.274193548387097,0.725806451612903,0.225806451612903
"MACAPAGAL-ARROYO, GLORIA",59,254,234,20,62,191,22,0.921259842519685,0.078740157480315,0.244094488188976,0.751968503937008,0.0866141732283465
"MACROHON-NUNO, LILIA",84,79,72,7,5,74,15,0.911392405063291,0.0886075949367089,0.0632911392405063,0.936708860759494,0.189873417721519
"MADRONA, ELEANDRO JESUS F.",57,45,36,9,18,27,6,0.8,0.2,0.4,0.6,0.133333333333333
"MAGSAYSAY, EULOGIO ""AMANG"" R.",72,141,136,5,30,110,,0.964539007092199,0.0354609929078014,0.212765957446809,0.780141843971631,
"MANALO, JESULITO A.",102,100,88,12,22,78,32,0.88,0.12,0.22,0.78,0.32
"MANGUDADATU, ZAJID G.",32,25,21,4,9,16,0,0.84,0.16,0.36,0.64,0
"MARCOS, IMELDA R.",32,38,28,11,13,25,4,0.736842105263158,0.289473684210526,0.342105263157895,0.657894736842105,0.105263157894737
"MASONGSONG, EDGARDO R.",74,75,69,6,12,63,13,0.92,0.08,0.16,0.84,0.173333333333333
"MATUGAS, FRANCISCO ""LALO"" T.",91,123,53,70,33,90,10,0.430894308943089,0.569105691056911,0.268292682926829,0.731707317073171,0.0813008130081301
"MELLANA, EVELYN P.",27,31,23,8,5,26,7,0.741935483870968,0.258064516129032,0.161290322580645,0.838709677419355,0.225806451612903
"MENDOZA, JOSELITO ""JON-JON"" R.",41,38,27,11,10,28,12,0.710526315789474,0.289473684210526,0.263157894736842,0.736842105263158,0.315789473684211
"MENDOZA, MARK LLANDRO L.",67,92,67,25,33,59,17,0.728260869565217,0.271739130434783,0.358695652173913,0.641304347826087,0.184782608695652
"MENDOZA, RAYMOND DEMOCRITO C.",101,103,92,11,36,67,10,0.893203883495146,0.106796116504854,0.349514563106796,0.650485436893204,0.0970873786407767
"MERCADO, DAMIAN ""MIAN"" G.",43,53,26,27,28,25,11,0.490566037735849,0.509433962264151,0.528301886792453,0.471698113207547,0.207547169811321
"MERCADO-REVILLA, LANI ",78,225,205,20,0,225,,0.911111111111111,0.0888888888888889,0,1,
"MIRASOL, ALEJANDRO Y.",23,19,17,2,1,18,2,0.894736842105263,0.105263157894737,0.0526315789473684,0.947368421052632,0.105263157894737
"MONTEJO, NEIL BENEDICT A.",17,14,12,2,4,10,7,0.857142857142857,0.142857142857143,0.285714285714286,0.714285714285714,0.5
"NAVA, JOAQUIN CARLOS RAHMAN A.",43,45,40,5,8,37,19,0.888888888888889,0.111111111111111,0.177777777777778,0.822222222222222,0.422222222222222
"NAVA, PABLO III R.",54,41,38,3,5,36,11,0.926829268292683,0.0731707317073171,0.121951219512195,0.878048780487805,0.268292682926829
"NOEL, VICTORIA G.",51,62,59,3,11,50,16,0.951612903225806,0.0483870967741935,0.17741935483871,0.806451612903226,0.258064516129032
"NOGRALES, KARLO ALEXEI B.",76,98,92,6,41,57,21,0.938775510204082,0.0612244897959184,0.418367346938776,0.581632653061224,0.214285714285714
"OAMINAL, HENRY S.",112,121,98,23,27,94,24,0.809917355371901,0.190082644628099,0.223140495867769,0.776859504132231,0.198347107438017
"OCAMPO, ROSENDA ANN ",63,59,56,2,0,58,12,0.949152542372881,0.0338983050847458,0,0.983050847457627,0.203389830508475
"OLIVAREZ, ERIC D.",150,242,221,21,87,155,,0.913223140495868,0.0867768595041322,0.359504132231405,0.640495867768595,
"ONG, EMIL LAO",101,101,91,10,14,87,26,0.900990099009901,0.099009900990099,0.138613861386139,0.861386138613861,0.257425742574257
"ORTEGA, FRANCIS EMMANUEL R.",19,23,12,11,1,22,7,0.521739130434783,0.478260869565217,0.0434782608695652,0.956521739130435,0.304347826086957
"ORTEGA, VICTOR FRANCISCO C.",63,53,39,14,14,39,9,0.735849056603774,0.264150943396226,0.264150943396226,0.735849056603774,0.169811320754717
"PACQUIAO, EMMANUEL D.",30,38,28,10,13,25,8,0.736842105263158,0.263157894736842,0.342105263157895,0.657894736842105,0.210526315789474
"PADILLA, CARLOS M.",90,100,82,18,21,79,,0.82,0.18,0.21,0.79,
"PADUANO, JOSEPH STEPHEN S.",26,21,20,1,3,18,4,0.952380952380952,0.0476190476190476,0.142857142857143,0.857142857142857,0.19047619047619
"PAEZ, CRESENTE C.",107,140,132,8,27,113,18,0.942857142857143,0.0571428571428571,0.192857142857143,0.807142857142857,0.128571428571429
"PAGDILAO, SAMUEL D.",112,98,94,4,20,78,16,0.959183673469388,0.0408163265306122,0.204081632653061,0.795918367346939,0.163265306122449
"PANCHO, GAVINI ""APOL"" C.",86,105,93,12,11,94,24,0.885714285714286,0.114285714285714,0.104761904761905,0.895238095238095,0.228571428571429
"PANGANIBAN, JOSE JR. T.",37,31,25,6,1,30,3,0.806451612903226,0.193548387096774,0.032258064516129,0.967741935483871,0.0967741935483871
"PANOTES, ELMER E.",46,43,34,9,4,39,10,0.790697674418605,0.209302325581395,0.0930232558139535,0.906976744186046,0.232558139534884
"PAQUIZ, LEAH S.",135,152,140,11,15,137,36,0.921052631578947,0.0723684210526316,0.0986842105263158,0.901315789473684,0.236842105263158
"PEOPLE'S INITIATIVE",3,0,4,0,0,0,0,Inf,,,,
"PERNES, MARIE ANNE",48,42,37,4,4,38,17,0.880952380952381,0.0952380952380952,0.0952380952380952,0.904761904761905,0.404761904761905
"PIAMONTE, MARIANO JR. U.",100,172,166,6,34,137,,0.965116279069767,0.0348837209302326,0.197674418604651,0.796511627906977,
"PICHAY, PHILIP A.",91,100,86,14,14,85,19,0.86,0.14,0.14,0.85,0.19
"PLAZA, MARIA VALENTINA G.",34,37,16,21,9,28,4,0.432432432432432,0.567567567567568,0.243243243243243,0.756756756756757,0.108108108108108
"PONCE ENRILE, SALVACION S.",5,10,8,2,8,2,2,0.8,0.2,0.8,0.2,0.2
"PRIMICIAS-AGABAS, MARLYN L.",80,229,190,38,28,201,,0.829694323144105,0.165938864628821,0.122270742358079,0.877729257641921,
"PUNO, ROBERTO V.",32,23,15,8,8,15,4,0.652173913043478,0.347826086956522,0.347826086956522,0.652173913043478,0.173913043478261
"QUIBRANZA-DIMAPORO, IMELDA",59,73,38,35,25,48,6,0.520547945205479,0.479452054794521,0.342465753424658,0.657534246575342,0.0821917808219178
"QUIMBO, ROMERO ""MIRO"" S.",95,106,84,22,34,71,24,0.792452830188679,0.207547169811321,0.320754716981132,0.669811320754717,0.226415094339623
"QUISUMBING, GABRIEL LUIGI R.",66,61,50,11,29,32,22,0.819672131147541,0.180327868852459,0.475409836065574,0.524590163934426,0.360655737704918
"RADAZA, AILEEN C.",28,31,24,7,5,26,5,0.774193548387097,0.225806451612903,0.161290322580645,0.838709677419355,0.161290322580645
"RAMOS, DEOGRACIAS JR. B.",88,103,76,27,22,81,23,0.737864077669903,0.262135922330097,0.213592233009709,0.786407766990291,0.223300970873786
"RELAMPAGOS, RENE LOPEZ",113,130,109,21,39,91,18,0.838461538461538,0.161538461538462,0.3,0.7,0.138461538461538
"REVILLA, JUAN JOHNNY R.",89,132,129,2,8,123,20,0.977272727272727,0.0151515151515152,0.0606060606060606,0.931818181818182,0.151515151515152
"REYES, REGINA ONGSIAKO",105,132,102,30,26,106,16,0.772727272727273,0.227272727272727,0.196969696969697,0.803030303030303,0.121212121212121
"RIDON, JAMES MARK TERRY L.",117,172,163,9,30,142,29,0.947674418604651,0.0523255813953488,0.174418604651163,0.825581395348837,0.168604651162791
"RIVERA, MICHAEL ANGELO C.",58,50,42,8,8,42,16,0.84,0.16,0.16,0.84,0.32
"ROBES, ARTURO B.",70,82,60,22,21,61,18,0.731707317073171,0.268292682926829,0.25609756097561,0.74390243902439,0.219512195121951
"RODRIGUEZ, ISIDRO JR. S.",54,55,35,20,5,50,5,0.636363636363636,0.363636363636364,0.0909090909090909,0.909090909090909,0.0909090909090909
"RODRIGUEZ, MAXIMO JR. B.",167,588,495,93,52,535,47,0.841836734693878,0.158163265306122,0.0884353741496599,0.909863945578231,0.0799319727891157
"RODRIGUEZ, OSCAR S.",83,87,64,23,16,71,20,0.735632183908046,0.264367816091954,0.183908045977011,0.816091954022989,0.229885057471264
"RODRIGUEZ, RUFUS B.",24,211,170,40,155,55,,0.805687203791469,0.18957345971564,0.734597156398104,0.260663507109005,
"ROMAN, HERMINIA B.",64,61,49,12,25,36,11,0.80327868852459,0.19672131147541,0.409836065573771,0.590163934426229,0.180327868852459
"ROMARATE, GUILLERMO JR. A.",44,51,29,22,15,36,5,0.568627450980392,0.431372549019608,0.294117647058824,0.705882352941177,0.0980392156862745
"ROMUALDEZ, FERDINAND MARTIN G.",70,53,44,9,17,36,10,0.830188679245283,0.169811320754717,0.320754716981132,0.679245283018868,0.188679245283019
